Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,0.662986,0.613979,0.672200
2,0.564214,0.544839,0.722480
3,0.487346,0.506297,0.744040
4,0.426186,0.538948,0.755800
5,0.376079,0.500928,0.766440
6,0.328068,0.615516,0.757400
7,0.286421,0.616878,0.754120
8,0.243651,0.594678,0.764560
9,0.204463,0.675211,0.765640
10,0.170754,0.736376,0.763080
