Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,0.696015,0.678133,0.580200
2,0.683346,0.676037,0.579600
3,0.664953,0.668556,0.599720
4,0.657935,0.681711,0.552280
5,0.669928,0.691366,0.569080
6,0.667310,0.678642,0.581880
7,0.655027,0.673858,0.596560
8,0.631885,0.658192,0.619440
9,0.689292,0.691781,0.500000
10,0.689262,0.690115,0.533080
