Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,0.697505,0.693698,0.500000
2,0.694976,0.693332,0.500000
3,0.693243,0.692265,0.519240
4,0.686579,0.687684,0.546760
5,0.669873,0.682431,0.570120
6,0.643925,0.684571,0.583160
7,0.621686,0.684382,0.593560
8,0.605780,0.689529,0.600760
9,0.585171,0.700586,0.601680
10,0.603984,0.701285,0.597840
