Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,0.623976,0.544462,0.722840
2,0.487034,0.500996,0.757040
3,0.404660,0.495944,0.763840
4,0.336275,0.522278,0.763320
5,0.273507,0.555434,0.767640
6,0.207686,0.668778,0.766800
7,0.148465,0.900687,0.760280
8,0.107437,0.929474,0.757000
9,0.075986,1.254494,0.755680
10,0.055667,1.419952,0.756080
