Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,0.689289,0.685023,0.562160
2,0.667965,0.646191,0.643400
3,0.616769,0.531788,0.744400
4,0.481616,0.494253,0.774200
5,0.405619,0.464133,0.791200
6,0.355892,0.424411,0.811320
7,0.309202,0.424568,0.810760
8,0.276606,0.435439,0.821640
9,0.263634,0.424373,0.812200
10,0.229996,0.462649,0.821480
