Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,0.625053,0.578490,0.722560
2,0.486081,0.504677,0.753040
3,0.401036,0.510058,0.767200
4,0.332248,0.524694,0.770960
5,0.266644,0.590608,0.768720
6,0.200480,0.625541,0.765520
7,0.147303,0.795258,0.763040
8,0.103336,0.961085,0.760120
9,0.076221,1.122386,0.759440
10,0.059783,1.125815,0.763760
