Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,0.653817,0.632325,0.667240
2,0.534935,0.533750,0.738720
3,0.453739,0.505425,0.754440
4,0.388069,0.561708,0.768240
5,0.333720,0.546182,0.769920
6,0.276452,0.558287,0.766120
7,0.226040,0.681011,0.765960
8,0.178704,0.718812,0.766160
9,0.141137,0.827605,0.756200
10,0.115995,0.931918,0.759560
