Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,0.695943,0.692672,0.513200
2,0.691727,0.691237,0.525360
3,0.684165,0.688183,0.546040
4,0.651798,0.633931,0.642800
5,0.595474,0.585210,0.693600
6,0.524448,0.551375,0.717000
7,0.476805,0.540118,0.736840
8,0.440379,0.535902,0.746120
9,0.402740,0.581060,0.746440
10,0.385969,0.559392,0.751280
