Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,0.694980,0.676428,0.584400
2,0.669284,0.656833,0.628120
3,0.638549,0.647047,0.640520
4,0.607763,0.639910,0.669680
5,0.580703,0.619031,0.690360
6,0.551328,0.613819,0.698480
7,0.519841,0.640754,0.701320
8,0.498418,0.611345,0.709600
9,0.469478,0.629084,0.707080
10,0.445404,0.638825,0.702000
