Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,0.693738,0.693212,0.498760
2,0.693445,0.693204,0.502960
3,0.693318,0.693142,0.504560
4,0.693199,0.693034,0.504920
5,0.693254,0.692984,0.508280
6,0.693260,0.692928,0.509400
7,0.693159,0.692859,0.510600
8,0.693154,0.692816,0.513640
9,0.692776,0.692754,0.514760
10,0.692717,0.692673,0.517360
