Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,0.653071,0.618418,0.680360
2,0.543322,0.610646,0.705480
3,0.470353,0.525748,0.748000
4,0.412789,0.582398,0.758320
5,0.367436,0.539369,0.760040
6,0.318827,0.565691,0.766400
7,0.269646,0.579637,0.765240
8,0.229076,0.618995,0.765600
9,0.188132,0.740831,0.755560
10,0.154192,0.743865,0.759560
