Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,0.693552,0.693152,0.498720
2,0.693355,0.693108,0.504480
3,0.693170,0.693010,0.502720
4,0.693347,0.692942,0.505800
5,0.693259,0.692889,0.512960
6,0.693013,0.692820,0.509120
7,0.692724,0.692785,0.509200
8,0.692767,0.692720,0.515760
9,0.692676,0.692650,0.514680
10,0.692665,0.692592,0.515720
