Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,0.660881,0.601295,0.677440
2,0.553924,0.557203,0.706760
3,0.477975,0.555617,0.722640
4,0.411986,0.562069,0.719840
5,0.346649,0.628163,0.721240
6,0.281034,0.705748,0.721160
7,0.231188,0.797271,0.714040
8,0.174369,0.849607,0.713040
9,0.162098,1.064342,0.717720
10,0.119568,1.080932,0.717120
